Map,Name,Address,Label,City,State,Category,Dog,Bike,Website,Phone
1,Grandpa Joe's Candy Shop,1 E. Main St.,1 E. Main St.,Troy,Ohio,Shops,,,https://grandpajoescandyshop.com/,937-980-9035
3,The Olive Oasis,7 E. Main St.,7 E. Main St.,Troy,Ohio,Shops,,,https://theoliveoasis.com/,(937) 552-7322
4,Sweeney Todd Salon,9 E. Main St.,9 E. Main St.,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/sweeneytoddsalon/,(937) 339-8633
6,Genesis Graphics,14 N. Walnut St.,14 N. Walnut St. #2,Troy,Ohio,Services,,,No Web Site,
7,Total Team Sports,101 E. Main St. ,101 E. Main St. ,Troy,Ohio,Shops,Y,,No Web Site,
8,Ulbrich's Home Town Bakery,103 E. Main St.,103 E. Main St.,Troy,Ohio,Restaurants and Bars,,,https://www.facebook.com/ulbrichsdonuts,(937) 335-0100
9,Designs From The Grove,105 E. Main St. ,105 E. Main St. ,Troy,Ohio,Shops,,,https://www.facebook.com/designsfromthegrove/,(937) 214-2546
10,Mojos Bar & Grille,109 E. Main St. ,109 E. Main St. ,Troy,Ohio,Restaurants and Bars,,Y,https://www.troymojos.com/,(937) 552-9172
11,Beauty by Bellotti,111 E. Main St. ,111 E. Main St. ,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/beautybybellotti/,(937) 552-9752
12,Crossroads Estate Sales,115 E. Main St.,115 E. Main St.,Troy,Ohio,Shops,,,https://crossroads-estatesales.com/,(937) 272-7849.
13,K's Hamburger Shop,117 E. Main St.,117 E. Main St.,Troy,Ohio,Restaurants and Bars,,,http://www.kshamburgershoptroy.com/,(937) 339-3902
14,Primal Forces Massage Therapy and Integrated Nutrition,121 E. Main St.,121 E. Main St. Suite A,Troy,Ohio,Health & Beauty,,,No Website,
14,The Lash Loft,123 E. Main St. ,123 E. Main St. ,Troy,Ohio,Health & Beauty,,,,
14,Dakota Rising Western Chic,123 E. Main St.,123 E. Main St.,Troy,Ohio,Shops,,,https://dakotarisingwestern.com/,(937) 573-9754
15,Museum of Troy History,124 E. Water St. ,124 E. Water St. ,Troy,Ohio,Attractions,,,http://www.museumoftroyhistory.org/,(937) 339-5155   
16,Overfield Tavern Museum,201 E. Water St.,201 E. Water St.,Troy,Ohio,Attractions,,,https://www.facebook.com/OverfieldTavernMuseum/,(937) 335-4019
17,Pedego Electric Bikes,225 E. Main St. ,225 E. Main St. ,Troy,Ohio,Shops,,,https://pedegoelectricbikes.com/dealers/troy/,937-552-9060
17,Baby & Co. 4D Ultrasounds,223 E. Main St.,223 E. Main St.,Troy,Ohio,Health & Beauty,,,http://babyandco4d.com/,(937) 524-5414
20,Purebred Coffee Co,112 E. Main St.,112 E. Main St.,Troy,Ohio,Restaurants and Bars,,,https://purebredcoffee.com/,(937) 552-7099
21,Purebred Coffee Co,110 E. Main St.,110 E. Main St.,Troy,Ohio,Restaurants and Bars,,,https://purebredcoffee.com/,(937) 552-7099
